Date,Open,High,Low,Close,Adj Close,Volume
2023-10-10,715.049988,717.799988,708.750000,715.200012,715.200012,527218
2023-10-11,718.900024,720.700012,712.000000,715.750000,715.750000,1174535
2023-10-12,719.000000,723.000000,715.000000,716.299988,716.299988,691279
2023-10-13,716.299988,720.000000,712.000000,716.950012,716.950012,410117
2023-10-16,716.950012,716.950012,703.150024,709.349976,709.349976,1680941
2023-10-17,714.799988,714.799988,706.000000,706.599976,706.599976,620122
2023-10-18,708.900024,711.599976,702.700012,704.450012,704.450012,1479098
2023-10-19,705.299988,707.150024,697.000000,705.150024,705.150024,603325
2023-10-20,704.500000,707.200012,698.099976,699.799988,699.799988,1167195
2023-10-23,699.200012,711.099976,690.500000,695.450012,695.450012,2223975
2023-10-25,696.150024,709.000000,693.099976,706.250000,706.250000,1877527
2023-10-26,700.000000,707.049988,684.099976,686.549988,686.549988,2065324
2023-10-27,689.950012,699.599976,683.549988,690.099976,690.099976,1251035
2023-10-30,688.000000,688.000000,630.400024,665.950012,665.950012,8750585
2023-10-31,669.900024,685.700012,662.849976,669.099976,669.099976,2598527
2023-11-01,675.000000,676.849976,665.349976,668.650024,668.650024,1608023
2023-11-02,677.799988,677.799988,656.700012,666.750000,666.750000,2091524
2023-11-03,673.599976,673.599976,664.799988,669.250000,669.250000,1200934
2023-11-06,673.000000,680.349976,669.000000,673.950012,673.950012,3301471
2023-11-07,677.150024,679.700012,668.299988,669.900024,669.900024,3384898
2023-11-08,672.950012,676.400024,666.299988,675.349976,675.349976,2274273
2023-11-09,678.099976,699.799988,675.750000,690.549988,690.549988,2062461
2023-11-10,689.799988,700.549988,683.400024,699.250000,699.250000,1514007
2023-11-13,713.099976,732.400024,704.400024,729.750000,729.750000,3927946
2023-11-15,735.200012,740.700012,724.049988,726.549988,726.549988,2347341
2023-11-16,727.799988,733.849976,719.000000,729.599976,729.599976,1478691
2023-11-17,719.000000,737.500000,718.950012,730.200012,730.200012,1167320
2023-11-20,732.799988,744.400024,725.700012,734.150024,734.150024,1905411
2023-11-21,735.000000,740.599976,717.650024,719.799988,719.799988,1022291
2023-11-22,720.000000,723.400024,710.099976,717.099976,717.099976,1502045
2023-11-23,721.900024,725.500000,717.500000,719.299988,719.299988,1613045
2023-11-24,720.000000,726.099976,711.549988,722.200012,722.200012,1619706
2023-11-28,724.549988,742.700012,718.200012,737.150024,737.150024,1521215
2023-11-29,737.799988,750.950012,735.049988,748.250000,748.250000,2345052
2023-11-30,751.000000,754.900024,738.049988,741.400024,741.400024,2292859
2023-12-01,745.000000,751.400024,740.049988,742.450012,742.450012,1178096
2023-12-04,755.000000,756.799988,742.849976,753.750000,753.750000,2867230
2023-12-05,756.000000,767.000000,744.200012,760.950012,760.950012,2286148
2023-12-06,764.950012,764.950012,743.250000,747.500000,747.500000,2383186
2023-12-07,750.000000,752.000000,739.349976,751.000000,751.000000,678386
2023-12-08,752.250000,753.700012,734.250000,740.500000,740.500000,1267997
2023-12-11,744.450012,746.000000,735.750000,739.750000,739.750000,1733049
2023-12-12,742.900024,748.950012,739.450012,741.400024,741.400024,1195849
2023-12-13,742.000000,742.049988,729.000000,735.500000,735.500000,2369489
