Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
AU,"Haiti Gang Members Open Fire at Churchgoers Marching to Protest Against Their Crimes, Many Dead","The incident happened in the capital city of Haiti, Port-au-Prince, and the protesters bypassed police protection and squared up to the gang members who were fully armed.",2023-08-29,738.099976,740.0,730.0,731.450012,731.450012,453151.0,-0.8271,-0.2263
AU,Youth urged to assume rightful position in climate change conversation,The Head of State observed that there were plans to incorporate a youth representative into the African Union (AU).,2023-09-04,726.0,729.0,713.299988,716.700012,716.700012,1565336.0,0.0,0.0
AU,African Union to join G20: How PM Modi’s big push is making it happen,"The African Union (AU) is a continental body comprising 55 member states. Launched in 2002, it represents 1.3 billion people and has a combined GDP of around $3 trillion. Prime Minister Narendra Modi has repeatedly pushed to make African nations an important part of India’s G20 presidency and come out strongly in favour of full G20 membership for the grouping",2023-09-07,724.5,728.0,720.25,725.349976,725.349976,604310.0,0.296,0.743
AU,G20 Summit: African Union becomes permanent member of G20 under India's presidency,"Shortly after the announcement, Union of Comoros President and AU chairperson Azali Assoumani took the seat as a full member of the G20.",2023-09-08,728.5,736.950012,724.0,734.900024,734.900024,1387523.0,0.0,0.0
AU,"G20 Summit 2023: 'Happy to see you in Delhi,' PM Modi welcomes world leaders for two-day event","This is the first time that the G20 Summit is being hosted by India. The countries taking part in the G20 Summit include Nigeria, Argentina, Italy, the AU (represented by Comros), and South Africa.",2023-09-09,,,,,,,0.7506,0.0
AU,WATCH: African Union chairperson Azali Assoumani takes seat as permanent member of G20,"Shortly after being invited by Prime Minister Narendra Modi, President of the Union of Comoros and Chairperson of the African Union (AU) Azali Assoumani on Saturday joined the G20 high table after the Union became a permanent member of the bloc.",2023-09-09,,,,,,,0.0,0.0
AU,African Union becomes permanent member of G20 under India's presidency,"New Delhi, The African Union (AU) on Saturday became a permanent member of the Group of 20 largest economies (G20) of the world with Prime Minister Narendra",2023-09-09,,,,,,,0.0,0.0
AU,"G20 Summit Day 1 Highlights: ‘India’s presidency a symbol of inclusion,’ says PM Modi; AU becomes permanent member","From PM Modi's opening statements, to the African Union officially becoming a permanent member of the G20 -- here are some highlights from day 1 of the Summit.",2023-09-09,,,,,,,0.0,0.0
AU,'Been a productive morning at the G20 Summit in Delhi': PM Modi,The clip also shows the Indian Prime Minister making the inaugural address at the G20 Summit and even announcing inclusion of the African Union (AU) as a permanent member of the G20,2023-09-09,,,,,,,0.0,0.0
AU,"Voice of Africa, Global South will grow stronger with AU inclusion in G20: South African delegate",The African Union became a new permanent member of the G20 on the first day of the summit being held in New Delhi,2023-09-09,,,,,,,0.3818,0.0
AU,"PM Modi hosts bilateral meet for France’s Macron, leaders pledge to boost defence ties","The India-France joint statement indicated that both countries welcomed the African Union’s membership to the G20 group of nations and resolved to work with AU for progress, prosperity and development of Africa",2023-09-10,,,,,,,0.4767,0.7096
AU,AU warns of action over collection of money by ‘hoax’ alumni association,"The action came following complaints by some alumni that some individuals are illegally seeking funds from them in the name of AUAA using the university logo, name and pictures, they said.",2023-09-16,,,,,,,-0.1027,-0.4019
AU,Day trading guide for today: Five stocks to buy or sell on Thursday - September 21,"Day trading stocks: market experts have recommended five stocks to buy today — AU Small Finance Bank, Sun Pharma, M&M Finance, Indian Bank and Coal India Ltd",2023-09-20,727.599976,759.200012,725.25,755.450012,755.450012,4544074.0,0.0,0.2023
AU,Chemist Warehouse Active Keto Gummies Australia (Active Keto Weight Loss Gummies) Where To Buy Keto Gummies AU/NZ?,Read more about Chemist Warehouse Active Keto Gummies Australia (Active Keto Weight Loss Gummies) Where To Buy Keto Gummies AU/NZ? on Devdiscourse,2023-09-23,,,,,,,0.1027,0.1027
AU,'Stalwart Leader of Global South': Bhutan Foreign Minister Lauds India for G20 Consensus,Bhutan's Foreign Minister lauds India's diplomacy for G20 consensus and African Union's inclusion. PM Modi recognised for championing AU's entry,2023-09-24,,,,,,,0.0,0.4215
AU,UN authorizes Haiti security mission to fight gangs,"The United Nations Security Council on Monday authorized a foreign security mission to Haiti, a year after the Caribbean country asked for help to fight violent gangs that have largely overrun its capital Port-au-Prince.",2023-10-02,,,,,,,-0.0516,0.4215
AU,Haiti democratic transition council says secretary-general kidnapped,"Local media reported, citing HCT head Mirlande Manigat, that Saint-Pierre was kidnapped around noon in the Debussy neighborhood of the capital Port-au-Prince by heavily armed men dressed as police officers. In nearby Petion-Ville, local media said clashes had taken place between Haiti's national police and members of the Kraze Barye gang.",2023-10-18,708.900024,711.599976,702.700012,704.450012,704.450012,1479098.0,0.0,0.0
AU,"Stocks to Watch: RIL, Maruti Suzuki, Ultratech, AU SFB, Cipla, IDFC First Bank","Adani Green, Marico, TVS Motor, UPL, P&G Health, GMR Airports Infra, Blue Star, and Emkay Global Finance, will be among the stocks to watch on Monday as they will be declaring their quarterly earnings report",2023-10-29,,,,,,,0.0,0.0
AU,AU Small Finance Bank to merge with Fincare Small Finance Bank,"Under the amalgamation plan, shareholders of Fincare Small Finance Bank will get 579 equity shares of AU Small Finance Bank Ltd for every 2,000 fully paid-up equity shares they own.",2023-10-29,,,,,,,0.0,0.5267
AU,Fincare Small Finance Bank to merge with AU Small Finance Bank,"Fincare Small Finance Bank started its operation on July 21, 2017. Its profit after tax stood at Rs 219 crore as of September-end.",2023-10-29,,,,,,,0.0,0.4404
AU,"Stocks to Watch: RIL, Ultratech Cement, AU SFB, NTPC, BPCL, MGL, SBI Card, and Others","Stocks to watch: Shares of firms like RIL, Ultratech Cement, AU SFB, NTPC, BPCL, MGL, SBI Card, and others will be in focus on Monday's trade.",2023-10-30,688.0,688.0,630.400024,665.950012,665.950012,8750585.0,0.0,0.5719
AU,Fincare SFB to be amalgamated into AU Small Finance Bank,"Kolkata, In a significant development in the small finance banking sector, Fincare Small Finance Bank (Fincare SFB) is poised to amalgamate into AU Small Finance",2023-10-30,688.0,688.0,630.400024,665.950012,665.950012,8750585.0,0.0,0.4215
AU,Day trading guide for stock market today: Six stocks to buy or sell on Thursday - 30th November,"Day trding stocks: Market experts have recommended six stocks to buy today — ICICI Bank, AU Bank, SBI, SAIL, FSL and CCL Products",2023-11-29,737.799988,750.950012,735.049988,748.25,748.25,2345052.0,0.0,0.2023
AU,Towards a brighter tomorrow: India's G20 Presidency and the dawn of a new multilateralism,"Inclusive, ambitious, action-oriented, and decisive—these four words defined India's approach as G20 president.The inclusion of the African Union (AU) as a",2023-11-30,751.0,754.900024,738.049988,741.400024,741.400024,2292859.0,0.3818,0.4767
AU,"Jaishankar meets his Rwandan counterpart, discusses economic, development cooperation","India's engagement with Rwanda is at three levels, at the African Union (AU) level, at the level of the Regional Economic Communities (RECs) and the bilateral level",2023-12-07,750.0,752.0,739.349976,751.0,751.0,678386.0,0.0,0.4588
